,Run 0,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19
17,0.7697368421052632,0.7956521739130434,0.5714285714285714,0.522633744855967,0.9473684210526315,0.7485380116959064,0.6153846153846154,0.5529411764705883,0.7884615384615384,0.7,0.4675324675324675,0.7741935483870968,0.5640138408304498,0.4828897338403042,0.8571428571428571,0.9473684210526315,0.659919028340081,0.48677248677248675,0.6776315789473685,0.47368421052631576
18,0.775,0.7942386831275721,0.5714285714285714,0.5234375,0.95,0.75,0.6153846153846154,0.553072625698324,0.7956204379562044,0.71,0.4672131147540984,0.7755102040816326,0.5723684210526315,0.48375451263537905,0.8636363636363636,0.95,0.6615384615384615,0.49246231155778897,0.68125,0.475
19,0.7738095238095238,0.796078431372549,0.5748299319727891,0.5261194029850746,0.9523809523809523,0.7513227513227513,0.6153846153846154,0.5531914893617021,0.8020833333333334,0.7142857142857143,0.46875,0.7766990291262136,0.56875,0.4845360824742268,0.8641975308641975,0.9523809523809523,0.663003663003663,0.49282296650717705,0.6845238095238095,0.47619047619047616
20,0.7727272727272727,0.797752808988764,0.577922077922078,0.5285714285714286,0.9545454545454546,0.7525252525252525,0.6153846153846154,0.5583756345177665,0.8013245033112583,0.7227272727272728,0.47191011235955055,0.7777777777777778,0.5761194029850746,0.4868421052631579,0.8698224852071006,0.9545454545454546,0.6643356643356644,0.4931506849315068,0.6875,0.4772727272727273
21,0.7771739130434783,0.7992831541218638,0.5807453416149069,0.5308219178082192,0.9565217391304348,0.7536231884057971,0.6153846153846154,0.5609756097560976,0.8063492063492064,0.7217391304347827,0.4731182795698925,0.7787610619469026,0.5811965811965812,0.48742138364779874,0.875,0.9565217391304348,0.6655518394648829,0.49344978165938863,0.6902173913043478,0.4782608695652174
22,0.78125,0.8006872852233677,0.5803571428571429,0.5311475409836065,0.9583333333333334,0.7546296296296297,0.6153846153846154,0.5654205607476636,0.8054711246200608,0.7208333333333333,0.4726027397260274,0.7796610169491526,0.5803814713896458,0.4879518072289157,0.8702702702702703,0.9583333333333334,0.6666666666666666,0.497907949790795,0.6927083333333334,0.4791666666666667
23,0.78,0.801980198019802,0.58,0.5314465408805031,0.96,0.7555555555555555,0.6153846153846154,0.5695067264573991,0.8046647230320699,0.72,0.4752475247524752,0.7804878048780488,0.5744125326370757,0.4884393063583815,0.875,0.96,0.6676923076923077,0.5,0.695,0.48
24,0.7788461538461539,0.8063492063492064,0.5796703296703297,0.5317220543806647,0.9615384615384616,0.7564102564102564,0.6153846153846154,0.5714285714285714,0.8067226890756303,0.7192307692307692,0.47468354430379744,0.78125,0.5789473684210527,0.4888888888888889,0.875,0.9615384615384616,0.6686390532544378,0.5,0.6971153846153846,0.4807692307692308
25,0.7777777777777778,0.8073394495412844,0.5793650793650794,0.5319767441860465,0.9629629629629629,0.757201646090535,0.6182336182336182,0.5708333333333333,0.8081081081081081,0.7148148148148148,0.47416413373860183,0.7819548872180451,0.5831325301204819,0.4919786096256685,0.8792270531400966,0.9629629629629629,0.6695156695156695,0.5,0.6990740740740741,0.48148148148148145
26,0.7767857142857143,0.8082595870206489,0.5790816326530612,0.5322128851540616,0.9642857142857143,0.7579365079365079,0.6181318681318682,0.5725806451612904,0.8020833333333334,0.7214285714285714,0.47368421052631576,0.782608695652174,0.5744186046511628,0.49226804123711343,0.8790697674418605,0.9642857142857143,0.6703296703296703,0.5,0.7008928571428571,0.48214285714285715
27,0.7801724137931034,0.8091168091168092,0.5812807881773399,0.5338753387533876,0.9655172413793104,0.7586206896551724,0.6206896551724138,0.5719844357976653,0.8015075376884422,0.7206896551724138,0.4732394366197183,0.7859649122807018,0.5788288288288288,0.4925373134328358,0.8789237668161435,0.9655172413793104,0.6710875331564987,0.5,0.6982758620689655,0.4827586206896552
28,0.7833333333333333,0.8076923076923077,0.5833333333333334,0.5340314136125655,0.9666666666666667,0.7592592592592593,0.6205128205128205,0.5714285714285714,0.8058252427184466,0.72,0.47540983606557374,0.7864406779661017,0.5773420479302832,0.49278846153846156,0.8787878787878788,0.9666666666666667,0.6717948717948717,0.5,0.6958333333333333,0.48333333333333334
29,0.782258064516129,0.8085106382978723,0.5852534562211982,0.5341772151898734,0.967741935483871,0.7598566308243727,0.6203473945409429,0.5709090909090909,0.8051643192488263,0.7193548387096774,0.47493403693931396,0.7868852459016393,0.5822784810126582,0.4930232558139535,0.8786610878661087,0.967741935483871,0.6724565756823822,0.5,0.6935483870967742,0.4838709677419355
30,0.78515625,0.8092783505154639,0.5848214285714286,0.5343137254901961,0.96875,0.7604166666666666,0.6201923076923077,0.5704225352112676,0.8090909090909091,0.721875,0.47570332480818417,0.792332268370607,0.5795918367346938,0.49324324324324326,0.8785425101214575,0.96875,0.6730769230769231,0.5,0.69140625,0.484375
31,0.7878787878787878,0.81,0.5844155844155844,0.5344418052256532,0.9696969696969697,0.7609427609427609,0.62004662004662,0.5699658703071673,0.8101545253863135,0.7212121212121212,0.47642679900744417,0.7925696594427245,0.5770750988142292,0.49344978165938863,0.875,0.9696969696969697,0.6736596736596736,0.5,0.6931818181818182,0.48484848484848486
32,0.7904411764705882,0.8106796116504854,0.5861344537815126,0.5345622119815668,0.9705882352941176,0.761437908496732,0.6199095022624435,0.5728476821192053,0.8137044967880086,0.7205882352941176,0.47596153846153844,0.7927927927927928,0.581573896353167,0.49469214437367304,0.875,0.9705882352941176,0.6742081447963801,0.5,0.6911764705882353,0.4852941176470588
